+--------------------------------------+------------------+---------+------+-----------+-------+-----------+
| ID                                   | Name             |     RAM | Disk | Ephemeral | VCPUs | Is Public |
| 55e4b499-53ef-48b6-9240-96c73c066b94 | win-b2-15        |   15000 |  100 |         0 |     4 | True      |
| 58080236-52b8-4893-9e2e-96fb10f33b11 | r3-1024-flex     | 1024000 |   50 |         0 |   128 | True      |
| 58111f3e-c3d0-4c7a-9013-d7c70d3792cb | c3-256-flex      |  256000 |   50 |         0 |   128 | True      |
| 59b540c5-5f24-4248-9c56-5c9cadad30a1 | win-b3-640       |  640000 |  400 |         0 |   160 | True      |
| 5a3f3519-1773-4eff-bfea-1cd0257574e4 | c3-64            |   64000 |  400 |         0 |    32 | True      |
| 5add43c3-2e57-4a29-8e5d-fa4e8e089cfa | win-r2-15-flex   |   15000 |   50 |         0 |     2 | True      |
| 5b5a2307-e08f-4215-b641-41eae41abcda | win-c3-64        |   64000 |  400 |         0 |    32 | True      |
| 5c4f9cb7-ac4a-421c-8777-e71fa0e483b4 | win-r3-512-flex  |  512000 |   50 |         0 |    64 | True      |
| 5c790e0f-ee68-4dde-962f-d00c40e8a820 | r2-120-flex      |  120000 |   50 |         0 |     8 | True      |
| 5caeb3f0-26be-49ef-936f-facb8826442f | win-r3-64        |   64000 |  200 |         0 |     8 | True      |
| 5cb151e2-916d-42b9-8959-fb1879df853a | win-c2-15        |   15000 |  100 |         0 |     4 | True      |
| 5d1e19d0-e62f-4003-a4c7-992d269d187c | c3-32-flex       |   32000 |   50 |         0 |    16 | True      |
| 5d996dbe-0d7a-4833-9250-7599dc206b59 | h100-760         |  760000 |  200 |         0 |    60 | True      |
| 5f072ee5-7bcb-47a4-a126-30730a4531a9 | a100-720         |  720000 |   50 |         0 |    60 | True      |
| 6038cd4b-80b4-4b4d-8c8a-09db70b54f08 | c3-256           |  256000 |  400 |         0 |   128 | True      |
| 6418a9db-9c63-4d94-bb94-1c628afbd7c4 | win-b3-8         |    8000 |   50 |         0 |     2 | True      |
| 6babf6cc-d2ce-413e-8e25-00acadcc04cf | c2-60            |   60000 |  400 |         0 |    16 | True      |
| 6e176443-640d-4a81-a981-5965feffd354 | win-c2-60-flex   |   60000 |   50 |         0 |    16 | True      |
| 6e1e39a2-0683-4bbe-8850-da31c6de412c | r2-240           |  240000 |  400 |         0 |    16 | True      |
| 6eaa7bf1-0173-4624-8296-67c98ffa2d10 | c2-120-flex      |  120000 |   50 |         0 |    32 | True      |
| 7406155b-c50b-439d-a305-31205bffc849 | win-c3-8         |    8000 |  100 |         0 |     4 | True      |
| 757302de-a98e-4b75-8e7f-82ce4181255a | bm-l1            |  128000 |  960 |         0 |    32 | True      |
| 7f0c26ed-d63e-4988-a6c5-a6ab998fa074 | c3-32            |   32000 |  400 |         0 |    16 | True      |
| 7fc6e3dd-3250-4d3d-a4d7-914fc34b546a | win-c3-16        |   16000 |  200 |         0 |     8 | True      |
| 849d48d5-f261-4725-9f25-640ce1f41502 | win-l4-90        |   90000 |  400 |         0 |    22 | True      |
| 84c0be45-c5e7-454f-ac6c-a7bb7a97e637 | h100-1520        | 1520000 |  200 |         0 |   120 | True      |
| 85ebe970-2826-4355-82ab-ba32d3f14740 | b2-120-flex      |  120000 |   50 |         0 |    32 | True      |
| 85ece008-0f2d-4145-8eb8-29a83ae23731 | r3-256-flex      |  256000 |   50 |         0 |    32 | True      |
| 888a4e4b-5f3d-4702-a1e7-cafa1af9badf | win-b3-32-flex   |   32000 |   50 |         0 |     8 | True      |
| 89e58c2c-c1ec-4bea-809d-5f481664f446 | win-c2-60        |   60000 |  400 |         0 |    16 | True      |
| 89f709c0-8c8e-4d3b-b8cc-59f73be90211 | win-r2-15        |   15000 |   50 |         0 |     2 | True      |
| 8a69448b-6318-490a-b52d-79bd0c0cd813 | win-b2-7         |    7000 |   50 |         0 |     2 | True      |
| 8b1040cc-d2f8-4c9e-906e-c0079b4762f3 | win-b3-256-flex  |  256000 |   50 |         0 |    64 | True      |
| 8b22acf8-9569-41d3-acea-df8573194fc7 | win-c3-4-flex    |    4000 |   50 |         0 |     2 | True      |
| 8bc35dc8-85a8-4729-bb02-94870101d8bb | c3-16-flex       |   16000 |   50 |         0 |     8 | True      |
| 8bcd6114-578b-44c8-85a2-63c87994dd94 | win-b3-64-flex   |   64000 |   50 |         0 |    16 | True      |
| 8c565674-6b38-4e38-b1de-9d3dd5a4baec | r3-128-flex      |  128000 |   50 |         0 |    16 | True      |
| 8edd7fc6-5a3d-450f-aa5a-79ba2ceab491 | c2-120           |  120000 |  400 |         0 |    32 | True      |
| 9140061b-097b-4072-b424-106707f91255 | win-r3-1024-flex | 1024000 |   50 |         0 |   128 | True      |
| 9144b7f3-2a7a-49ce-ae24-1333dcb292b1 | r3-512           |  512000 |  400 |         0 |    64 | True      |
| 91978071-8eae-4456-b579-f3465fbb9b43 | c3-4             |    4000 |   50 |         0 |     2 | True      |
| 920a75fa-cd39-4071-be97-ae624911d295 | c3-16            |   16000 |  200 |         0 |     8 | True      |
| 9350d9c9-5709-4839-86ad-291d9711f30e | d2-8             |    8000 |   50 |         0 |     4 | True      |
| 93fd9485-3e23-487c-95f5-13d4fef18360 | win-c3-16-flex   |   16000 |   50 |         0 |     8 | True      |
| 96bc0a2b-e77c-4cfb-9c5a-8cbaca95ffb3 | r3-64            |   64000 |  200 |         0 |     8 | True      |
| 990f881a-a174-40bc-b8d4-a2a2cd831231 | c3-128-flex      |  128000 |   50 |         0 |    64 | True      |
| 99a7ecba-57b7-43f6-9da5-7fd02b19e129 | r2-15-flex       |   15000 |   50 |         0 |     2 | True      |
| 9a0a8fc2-3325-45fc-a4a2-776b9a0995c5 | win-r2-240       |  240000 |  400 |         0 |    16 | True      |
| 9c435911-943e-4d7a-89ab-323fee96d220 | win-r3-128-flex  |  128000 |   50 |         0 |    16 | True      |
| 9c4d9137-df5b-4a31-b904-62ded7716c74 | win-c3-4         |    4000 |   50 |         0 |     2 | True      |
| 9c61a568-ac52-4be3-9cf5-aefc49b5edfd | b3-640-flex      |  640000 |   50 |         0 |   160 | True      |
| 9ed44fd8-e968-47bd-a0ba-c5ac626363ca | r3-256           |  256000 |  400 |         0 |    32 | True      |
| a0b71d96-fda5-4ba5-810d-c264bfb1e0d5 | t2-le-45         |   45000 |  300 |         0 |    15 | True      |
| a0d39fd8-a7dd-4769-b9b4-047a2cc6ceb0 | win-r2-120       |  120000 |  200 |         0 |     8 | True      |
| a1eb1519-6e58-4a0c-8bca-e8009956fb79 | c3-4-flex        |    4000 |   50 |         0 |     2 | True      |
| a1f3e08b-6aa7-443f-a2d0-d80f63355787 | win-b3-512       |  512000 |  400 |         0 |   128 | True      |
| a297308e-6332-44ae-937f-34eabfd57144 | a100-360         |  360000 |  500 |         0 |    30 | True      |
| a2ec2a2d-affa-47eb-9ac2-4026ed3f6db2 | b2-120           |  120000 |  400 |         0 |    32 | True      |
| a4d80a53-4c41-4eaa-a5e4-52f267a0dc24 | l4-360           |  360000 |  400 |         0 |    90 | True      |
| a7ea4f00-b996-4673-a6ef-286057a54777 | c2-7-flex        |    7000 |   50 |         0 |     2 | True      |
| a83eaa15-c4e4-442c-adac-d1c7102b1c71 | win-c3-8-flex    |    8000 |   50 |         0 |     4 | True      |
| a8ab963a-3e5b-4ebf-a4fd-eb8c4788b6e5 | win-r3-32        |   32000 |  100 |         0 |     4 | True      |
| a8c9b51b-4a6b-46ee-b5f0-ec56445b14b6 | r3-1024          | 1024000 |  400 |         0 |   128 | True      |
| aa817f62-07a7-453d-9064-5ed364bcc6f2 | c2-15-flex       |   15000 |   50 |         0 |     4 | True      |
| ae49e489-92cd-47bd-82d6-546159453fd2 | win-c3-64-flex   |   64000 |   50 |         0 |    32 | True      |
| ae6e6ee5-e390-4f3f-9da5-dd1bd9c95ab3 | l4-90            |   90000 |  400 |         0 |    22 | True      |
| aeef690f-4525-4fef-90b4-995325c9b7b7 | b3-32            |   32000 |  200 |         0 |     8 | True      |
| b04f5f0c-857c-4460-b90a-5b75baa104c3 | r2-240-flex      |  240000 |   50 |         0 |    16 | True      |
| b0b0e828-87eb-4606-9367-a79494c53723 | r3-512-flex      |  512000 |   50 |         0 |    64 | True      |
| b0fc648b-bfd3-4c40-bb49-68bcbe56e0ec | win-r2-60-flex   |   60000 |   50 |         0 |     4 | True      |
| b369ab88-9112-49b2-909d-539553d66b9a | l40s-360         |  360000 |  400 |         0 |    60 | True      |
| b3ecb42d-b3bf-40c7-989d-dc1bc9342628 | r2-60-flex       |   60000 |   50 |         0 |     4 | True      |
| b415a2bc-dbdf-4e94-b710-d72adcb2da6b | win-r3-512       |  512000 |  400 |         0 |    64 | True      |
| b5ddb805-aeec-43c7-a3d6-6b2fc2b27f11 | win-b2-7-flex    |    7000 |   50 |         0 |     2 | True      |
| b5ecd103-0153-4628-81b3-d2227e6095e5 | a10-180          |  170000 |  400 |         0 |   120 | True      |
| b6e064ec-d452-4597-9dcb-4a3a37e9ec79 | c2-60-flex       |   60000 |   50 |         0 |    16 | True      |
| b85e0428-80ba-49f5-b756-4f771dd1baa0 | win-b3-8-flex    |    8000 |   50 |         0 |     2 | True      |
| b908d7fc-fadc-4363-b7d4-2e05287912d1 | win-r2-60        |   60000 |  100 |         0 |     4 | True      |
| b91321d8-7465-4560-be08-9d76ce0ae802 | b3-512           |  512000 |  400 |         0 |   128 | True      |
| ba65167a-bff1-4db3-96f8-2ed37b194c99 | win-b3-16        |   16000 |  100 |         0 |     4 | True      |
| bbcc5280-a57e-45c1-a40d-941cf02ec45c | win-r3-128       |  128000 |  400 |         0 |    16 | True      |
| be78e063-9543-4e91-bbde-b57238742b5c | win-c2-30-flex   |   30000 |   50 |         0 |     8 | True      |
| c035cf3d-0562-4104-a7b7-576498cf4955 | b3-128-flex      |  128000 |   50 |         0 |    32 | True      |
| c2766b31-4de5-4430-84ab-139f9c60a353 | win-c3-256-flex  |  256000 |   50 |         0 |   128 | True      |
| c5e624b8-72cc-4124-9962-b855a36884bd | win-b3-640-flex  |  640000 |   50 |         0 |   160 | True      |
| c6e9b74f-c419-426c-b24c-85aa0ce73495 | d2-2             |    2000 |   25 |         0 |     1 | True      |
| c7fae36e-eb06-4432-af74-2ecb48f758a6 | a10-45           |   42000 |  400 |         0 |    30 | True      |
| c845944c-cb89-428f-a731-fe616fc34546 | win-r3-16-flex   |   16000 |   50 |         0 |     2 | True      |
| caabb23c-8e39-4f32-bd9a-def26f6c4bcf | c3-8-flex        |    8000 |   50 |         0 |     4 | True      |
| cb369ea6-0a51-4825-954d-5591133898af | win-r2-240-flex  |  240000 |   50 |         0 |    16 | True      |
| cc90f3e2-51ed-4e2e-9824-6e281b60d018 | c3-64-flex       |   64000 |   50 |         0 |    32 | True      |
| cd212665-dc08-4125-8b97-37c23665ce29 | win-t2-180       |  180000 |   50 |         0 |    56 | True      |
| cde3b8d7-ad8f-437f-b01e-d482cb3754ce | win-r2-120-flex  |  120000 |   50 |         0 |     8 | True      |
| d0164ed5-3cf0-433b-abdd-e2bc13caa7ad | win-b3-128       |  128000 |  400 |         0 |    32 | True      |
| d065a1f1-c310-4637-871d-d2c26b27b9a9 | win-c3-32        |   32000 |  400 |         0 |    16 | True      |
| d099de8a-2a21-4571-9ec9-fa4ebe661074 | win-r3-16        |   16000 |   50 |         0 |     2 | True      |
| d0a01e34-a55e-463b-a5dc-0b4e31ab457a | c3-8             |    8000 |  100 |         0 |     4 | True      |
| d12cf704-6755-45a4-9991-e94a75078767 | a10-90           |   85000 |  400 |         0 |    60 | True      |
| d13e1dee-62fc-4b89-ada6-1d8be3e63083 | t2-le-90         |   90000 |  500 |         0 |    30 | True      |
| d2080f27-c0e0-4fbb-abc6-13749506f751 | b3-64-flex       |   64000 |   50 |         0 |    16 | True      |
| d287be86-f6a5-43f4-9c8d-ae7e8bd1ffac | win-b2-120-flex  |  120000 |   50 |         0 |    32 | True      |
| d3aa890f-41ac-4840-b81d-97a90705f3b9 | r2-15            |   15000 |   50 |         0 |     2 | True      |
| d492a36b-9ff1-4034-9fa6-8fad5b5d2193 | i1-90            |   90000 |   50 |         0 |    16 | True      |
| d56f4f2c-e5e2-4fd4-a8c8-bb8d1628fdd6 | win-b3-128-flex  |  128000 |   50 |         0 |    32 | True      |
| d5c04259-4a4b-45ef-88bd-11b387065606 | win-i1-90        |   90000 |   50 |         0 |    16 | True      |
| d6eacfe7-9776-4e9d-b8ad-e9351173af2c | win-b3-64        |   64000 |  400 |         0 |    16 | True      |
| d75458f0-cd15-48de-979f-63c615d5d82d | c3-320-flex      |  320000 |   50 |         0 |   160 | True      |
| d99609b8-ba04-4f10-a4c0-bccd243a89a6 | b3-256           |  256000 |  400 |         0 |    64 | True      |
| da748640-29e8-4396-89d7-453e5e389a22 | win-b2-120       |  120000 |  400 |         0 |    32 | True      |
| dbab9ec6-7573-4274-92cc-fae66ef6deca | win-b2-60-flex   |   60000 |   50 |         0 |    16 | True      |
| dbf380d2-2277-447f-93d9-d7d951d26ebf | win-t2-90        |   90000 |  800 |         0 |    28 | True      |
| dfe1423b-eede-4d76-8c38-09d6dc451007 | win-t2-45        |   45000 |  400 |         0 |    14 | True      |
| e54b6f25-e74d-43cc-8894-160533441fa7 | win-b3-16-flex   |   16000 |   50 |         0 |     4 | True      |
